,Compound,Date,Negative,Neutral,Positive,Source Account,Tweet Text,Tweets Ago
0,0.5719,Thu Jun 14 19:32:00 +0000 2018,0.837,0.0,0.163,@BBC,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Kate… https://t.co/VbnExFqEI1",1
1,-0.0258,Thu Jun 14 19:03:07 +0000 2018,0.948,0.052,0.0,@BBC,Anne Robinson meets women from across the UK to find out - 100 years on from suffrage - what's still preventing the… https://t.co/0Vkrm7bFz6,2
2,0.4588,Thu Jun 14 18:00:25 +0000 2018,0.833,0.0,0.167,@BBC,"'I'm glad you're in my life.'

💕 How dementia has brought together a 71-year-old and an 18-year-old. https://t.co/5yTs9XYxEj",3
3,0.2263,Thu Jun 14 16:00:21 +0000 2018,0.863,0.0,0.137,@BBC,"😂🦈  If you haven't seen @AlanDavies1's shark impression, you haven't lived. 
#QI https://t.co/LdUwTLxRps",4
4,-0.2023,Thu Jun 14 15:13:23 +0000 2018,0.699,0.165,0.136,@BBC,💚 Hundreds of people have taken part in a silent procession in honour of the 72 people killed in the Grenfell Tower… https://t.co/uBVXW3wwgs,5
5,-0.0258,Thu Jun 14 13:10:42 +0000 2018,0.642,0.155,0.203,@BBC,"RT @bbcthree: This is what painful sex feels like. #HearHer 

(you'll want sound on) https://t.co/NyMtT7wFK4",6
6,0.541,Thu Jun 14 13:01:07 +0000 2018,0.845,0.0,0.155,@BBC,"""We gave him some food so hopefully he'll be back"": this fox climbed onto a London roof to sunbathe. 🦊😎… https://t.co/l9mI0SMSbA",7
7,0.3774,Thu Jun 14 12:24:25 +0000 2018,0.681,0.088,0.231,@BBC,😂⚽️ There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th… https://t.co/T4RLt9VxUl,8
8,-0.34,Thu Jun 14 12:11:30 +0000 2018,0.902,0.098,0.0,@BBC,"RT @BBCNews: Grenfell Tower, and 12 other London buildings, illuminated green to mark one year since the fire that claimed 72 lives 

A nat…",9
9,0.4753,Thu Jun 14 12:01:05 +0000 2018,0.808,0.0,0.192,@BBC,❤️🐶 From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,10
10,0.6124,Thu Jun 14 11:00:18 +0000 2018,0.597,0.138,0.264,@BBC,"😍🐐 'Love is evil – it will make you fall in love with a goat.'

12 Russian proverbs to get you through the… https://t.co/UoHrrXNBIg",11
11,0.0,Thu Jun 14 08:01:02 +0000 2018,1.0,0.0,0.0,@BBC,📚 These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,12
12,0.0,Thu Jun 14 07:27:04 +0000 2018,1.0,0.0,0.0,@BBC,"How our teenage years shape our personality. 
👉 https://t.co/QJTAN44EEc https://t.co/jnEjheADKI",13
13,0.8074,Thu Jun 14 07:01:03 +0000 2018,0.52,0.0,0.48,@BBC,"Could one 'super bacteria’ help to feed our growing world? 
#BBCTakingTheTemperature https://t.co/ShjZWSewSw",14
14,0.0,Wed Jun 13 19:03:07 +0000 2018,1.0,0.0,0.0,@BBC,"Anatomist @theAliceRoberts embarks on a quest to rebuild her own body from scratch. 

Can Science Make Me Perfect?… https://t.co/MSu2XCAYqw",15
15,-0.4005,Wed Jun 13 18:28:04 +0000 2018,0.863,0.137,0.0,@BBC,"Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History… https://t.co/68V4lSl8ee",16
16,0.3612,Wed Jun 13 18:01:04 +0000 2018,0.839,0.0,0.161,@BBC,😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,17
17,0.6369,Wed Jun 13 16:30:31 +0000 2018,0.819,0.0,0.181,@BBC,"RT @BBCOne: There are some ingredients that even Britain’s best home cooks can’t get on board with. #BBHC 🤔

@Chris_Bavin https://t.co/whDV…",18
18,-0.4019,Wed Jun 13 16:25:17 +0000 2018,0.837,0.163,0.0,@BBC,"RT @BBCiPlayer: Witness the might of female factory workers in Dagenham, who fought for equal pay in 1968. 💪 🙌🏾 
#MadeinDagenham: https://t…",19
19,0.0,Wed Jun 13 16:01:03 +0000 2018,1.0,0.0,0.0,@BBC,'Black people think I have white privilege.' https://t.co/SoNEFZfdZ6,20
20,0.0,Wed Jun 13 12:47:08 +0000 2018,1.0,0.0,0.0,@BBC,RT @bbcarts: Flags by artists including Grayson Perry (@Alan_Measles) and Cornelia Parker have appeared across London's West End as the @ro…,21
21,0.0,Wed Jun 13 12:03:07 +0000 2018,1.0,0.0,0.0,@BBC,⚡️ Meet Hertha Ayrton – the woman who shaped how we use electricity. https://t.co/LZnr5wtYNy,22
22,0.0,Wed Jun 13 11:00:15 +0000 2018,1.0,0.0,0.0,@BBC,"Did you know you've had an accent since birth?

🗣 Seven things you need to hear about your voice.
👉… https://t.co/3OGd30hpVQ",23
23,0.128,Wed Jun 13 10:15:53 +0000 2018,0.923,0.0,0.077,@BBC,"A daredevil raccoon in St Paul, Minnesota, has had the internet on tenterhooks after scaling 23 floors of a buildin… https://t.co/tqjQwFVL3I",24
24,0.0,Wed Jun 13 09:36:59 +0000 2018,1.0,0.0,0.0,@BBC,"😲⚱️ An 18th Century Chinese vase, left for decades in a shoebox in France, has sold for 16.2m euros (£14.2m).
👉… https://t.co/7atcYClrRw",25
25,0.0,Wed Jun 13 08:00:04 +0000 2018,1.0,0.0,0.0,@BBC,"🐦🐦🐦
Do these photos change your view of pigeons? https://t.co/SQKBEWW3Fs",26
26,-0.4588,Wed Jun 13 07:26:10 +0000 2018,0.857,0.143,0.0,@BBC,"🌱👀 Shengshan island in China's eastern Zhejiang province is home to Houtouwan, an abandoned village that has become… https://t.co/66x0Zg6TOm",27
27,0.5413,Wed Jun 13 07:00:15 +0000 2018,0.811,0.0,0.189,@BBC,"🎶 SOUND ON 🎶 
💙 This is the most relaxing way to start your day.
#OurBluePlanet w/ @OceanX https://t.co/powXPfRdat",28
28,0.0,Tue Jun 12 19:01:04 +0000 2018,1.0,0.0,0.0,@BBC,"🖥 The US has debuted the world's fastest supercomputer and it can process 200 petaflops per second.
👉… https://t.co/6vWlmLR2nT",29
29,0.8402,Tue Jun 12 18:07:04 +0000 2018,0.667,0.0,0.333,@BBC,This is the remarkable story of a convent of Mexican nuns helping to save one of the world's most endangered amphib… https://t.co/onravMF7l2,30
30,0.0,Tue Jun 12 17:01:05 +0000 2018,1.0,0.0,0.0,@BBC,"🤢 How long has it been since you last washed your tea towel?

Multi-use of tea towels is putting households at risk… https://t.co/PHJy8gmVSX",31
31,0.3802,Tue Jun 12 16:00:03 +0000 2018,0.667,0.1,0.233,@BBC,"🇸🇪🙊 Learn how to swear like a Swede! 

(via @BBCRadio4) https://t.co/S789Be360L",32
32,0.6369,Tue Jun 12 15:36:53 +0000 2018,0.794,0.0,0.206,@BBC,RT @bbcwritersroom: Find out how we created 4 brand new #comedy monologues across the UK for the #BiggestWeekend festival and watch all 4 n…,33
33,-0.2263,Tue Jun 12 15:14:54 +0000 2018,0.84,0.16,0.0,@BBC,RT @BBCOne: .@StaceyDooley investigates the changing face of women's protests. https://t.co/1cdtKOdQ50,34
34,-0.0258,Tue Jun 12 15:01:55 +0000 2018,0.561,0.224,0.215,@BBC,"😂 Charlie Chaplin: The original distracted boyfriend.
👉 https://t.co/SplrRVbEzo https://t.co/5pYs0lIMcM",35
35,0.5719,Tue Jun 12 14:38:12 +0000 2018,0.871,0.0,0.129,@BBC,"RT @bbcarts: 100 years after women won the right to vote, and with the #MeToo movement making waves around the world, are we really any clo…",36
36,-0.7096,Tue Jun 12 13:02:04 +0000 2018,0.619,0.275,0.107,@BBC,"The ""Sensational Six"" have been friends for 40 years. After one of the group died from cancer, this photo inspired… https://t.co/grOw4K4mEA",37
37,0.2003,Tue Jun 12 12:15:37 +0000 2018,0.755,0.104,0.141,@BBC,"RT @BBCR1: How special is this cover?!

@5SOS take on @AliceMerton's 'No Roots' in the Live Lounge 💕 https://t.co/EmYc7O524x",38
38,0.5719,Tue Jun 12 12:00:21 +0000 2018,0.73,0.0,0.27,@BBC,🙌 Meet the 10-year-old with cerebral palsy who's won a modelling contract. https://t.co/UxQFh12fPX,39
39,-0.2869,Tue Jun 12 11:04:42 +0000 2018,0.734,0.158,0.108,@BBC,"RT @bbcrb: Who doesn't love Gromit?
Even his biggest fans won't have seen him like THIS before! 😮✈️ https://t.co/8jvF1G1EeC",40
40,-0.296,Tue Jun 12 11:03:02 +0000 2018,0.891,0.109,0.0,@BBC,"🥒 Use a wooden chopping board 
🍄 Stop peeling your mushrooms
🤔 Throw your spaghetti at the wall... 

Here are 10 co… https://t.co/e8RCeFoJvg",41
41,0.0,Tue Jun 12 10:21:42 +0000 2018,1.0,0.0,0.0,@BBC,Captain Mainwaring and his comrades are to feature on a new set of stamps to mark the 50th anniversary of the class… https://t.co/h8wGtRaGtO,42
42,0.3802,Tue Jun 12 10:10:18 +0000 2018,0.899,0.0,0.101,@BBC,"RT @BBCR1: ✨💫 Today's the day! 💫✨

Make sure you're listening to @claraamfo to hear @5SOS perform in the Live Lounge at 12pm 👉 https://t.co…",43
43,0.2732,Tue Jun 12 09:34:55 +0000 2018,0.877,0.0,0.123,@BBC,RT @bbcthree: Robert Lee quit his well paid Wall Street job to feed the homeless https://t.co/OHl500fXn1,44
44,0.5994,Tue Jun 12 08:25:43 +0000 2018,0.855,0.0,0.145,@BBC,"RT @bbcgetinspired: History will be made at the #WorldCup 

Here's @LivCookefs to get you in the mood. Could you do these super skills? #Ge…",45
45,0.0,Tue Jun 12 08:00:18 +0000 2018,1.0,0.0,0.0,@BBC,"🔊🐦 Ever heard a beatboxing starling? 
#Springwatch https://t.co/N758EN4j3s",46
46,0.4019,Tue Jun 12 07:28:06 +0000 2018,0.863,0.0,0.137,@BBC,"🧟📱 A Chinese city has introduced a special pedestrian lane on one of its roads, exclusively for slow-walking smartp… https://t.co/rBVq8RO5KN",47
47,0.0,Tue Jun 12 07:00:10 +0000 2018,0.722,0.139,0.139,@BBC,This new service uses a smartphone and camera glasses to help blind or partially sighted people. https://t.co/5Ca4REP9xU,48
48,0.0258,Mon Jun 11 18:00:20 +0000 2018,0.922,0.0,0.078,@BBC,"'Everything that happened, could have been prevented. But it wasn't.'
#Grenfell | 8.30pm | @BBCOne https://t.co/WN4aCfoNTA",49
49,0.0498,Mon Jun 11 17:31:06 +0000 2018,0.742,0.105,0.152,@BBC,"Follow top female wrestler Kimberly Benson, aka Viper, as she fights in some of the most important matches of her c… https://t.co/KE73F2VSI8",50
50,0.5423,Mon Jun 11 16:00:11 +0000 2018,0.696,0.0,0.304,@BBC,"🚺😂 @SandiToksvig can't get a moment of peace. 
#QI https://t.co/D9YlBYFxpp",51
51,0.5423,Mon Jun 11 15:18:53 +0000 2018,0.711,0.075,0.213,@BBC,RT @BBCr4today: The building blocks of life have been found on Mars and @SanjeevGupta45 says it's an exciting prospect 👽 #r4today https://t…,52
52,0.8908,Mon Jun 11 15:11:47 +0000 2018,0.602,0.0,0.398,@BBC,"RT @bbc5live: ""Be in charge of your own happiness"" 💪

 Inspiring words from champion wrestler @missviper91!

#FightLikeAGirl is on @BBCOne…",53
53,-0.2263,Mon Jun 11 15:03:32 +0000 2018,0.921,0.079,0.0,@BBC,"'My mum had tears coming out of her eyes'. 

❤️ This Sikh soldier became the first person to wear a turban for the… https://t.co/op7eX7mW5x",54
54,0.2732,Mon Jun 11 14:25:15 +0000 2018,0.905,0.0,0.095,@BBC,"The UK could see an end to homelessness within 10 years if the government embraces certain policies, according to t… https://t.co/7aqYA3BaEE",55
55,-0.2023,Mon Jun 11 13:03:03 +0000 2018,0.733,0.151,0.116,@BBC,"Think bacteria are bad? Think again. 🥛🥒🧀

These are things you should eat to get a healthy gut. 👉… https://t.co/ZS4UEckeoR",56
56,0.6801,Mon Jun 11 12:01:04 +0000 2018,0.663,0.0,0.337,@BBC,⚽ What's it like to be the most powerful woman in international sport? https://t.co/MqcaxKtJeH,57
57,0.4588,Mon Jun 11 11:03:13 +0000 2018,0.786,0.0,0.214,@BBC,RT @BBCNews: 'I'm glad I was the first guardsman to wear a turban' https://t.co/fL4yzmOAPU,58
58,0.34,Mon Jun 11 11:03:05 +0000 2018,0.888,0.0,0.112,@BBC,"Is visual learning a myth?  🤔📚✍

Studies have been unable to find robust evidence to suggest matching teaching to p… https://t.co/Ltv1kIAf2h",59
59,0.5719,Mon Jun 11 10:12:03 +0000 2018,0.837,0.0,0.163,@BBC,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote.

Here's… https://t.co/5mfz9HMRb8",60
60,0.6476,Mon Jun 11 08:01:05 +0000 2018,0.602,0.0,0.398,@BBC,🌭🐶 Two hundred dachshunds in one place... yes please! https://t.co/2ugZtgmBZ7,61
61,0.0258,Mon Jun 11 07:29:06 +0000 2018,0.948,0.0,0.052,@BBC,"From fallopian tubes to the G-spot, women’s body parts have been named by – and after – men. 

Does it matter?
👉… https://t.co/AYYGElSo0U",62
62,0.4404,Mon Jun 11 07:03:07 +0000 2018,0.854,0.0,0.146,@BBC,"🐺🏔🌲🎧
Need to relax? 

Sit back, close your eyes and LISTEN to the incredible sounds of Alaska... https://t.co/oxXS1KWHKW",63
63,-0.5719,Sun Jun 10 19:04:08 +0000 2018,0.761,0.239,0.0,@BBC,"As the Poldarks look to rebuild their marriage, Cornwall struggles under Warleggan pressure. 

#Poldark | 9pm |… https://t.co/yPvJnKdRr9",64
64,0.4588,Sun Jun 10 18:02:27 +0000 2018,0.88,0.0,0.12,@BBC,Can we interest you in a little cockroach milk to go with your cereal? Because this could be the next big food fad.… https://t.co/Vk8TrTfYQr,65
65,0.0,Sun Jun 10 17:03:05 +0000 2018,1.0,0.0,0.0,@BBC,Emily Davison became a martyr to the suffragette cause after running in front of the king's horse at the Epsom Derb… https://t.co/ULpY95lcsi,66
66,0.0,Sun Jun 10 16:02:05 +0000 2018,1.0,0.0,0.0,@BBC,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,67
67,0.6808,Sun Jun 10 15:22:00 +0000 2018,0.804,0.0,0.196,@BBC,"RT @BBCOne: ""We are woman, we have loud voices and lightbulb hearts...
Our bodies are like miracles, we are proud of what we are.""

Celebra…",68
68,0.7003,Sun Jun 10 15:19:47 +0000 2018,0.799,0.0,0.201,@BBC,"RT @BBCOne: Women across the UK are marching together to create a living artwork, to mark 100 years since the first British women won the v…",69
69,-0.5994,Sun Jun 10 15:01:05 +0000 2018,0.755,0.245,0.0,@BBC,"Is feminism actually just a war on men? @RachelParris has some thoughts... 😂
#TheMashReport https://t.co/t31I5bFWgn",70
70,0.0,Sun Jun 10 14:38:18 +0000 2018,1.0,0.0,0.0,@BBC,"RT @CBeebiesHQ: Would you consider an alternative to mainstream education? 

@BBCNews #SundayThoughts https://t.co/hwileHwd1K",71
71,0.5719,Sun Jun 10 14:37:55 +0000 2018,0.861,0.0,0.139,@BBC,"RT @BBCOne: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Hands up to Bake…",72
72,0.5719,Sun Jun 10 12:12:42 +0000 2018,0.861,0.0,0.139,@BBC,"RT @bbcarts: 100 years after the Suffragettes won the right to vote, women will gather in the streets of Belfast, Cardiff, Edinburgh and Lo…",73
73,0.0,Sun Jun 10 12:02:04 +0000 2018,1.0,0.0,0.0,@BBC,"Kirsty Young presents live coverage of the processions across London, Edinburgh, Cardiff and Belfast to mark the ce… https://t.co/MMZLWLI5uG",74
74,0.0,Sun Jun 10 10:58:07 +0000 2018,1.0,0.0,0.0,@BBC,Can you believe these wonders are beneath UK waters? https://t.co/BJ3SEEIjDN,75
75,-0.3818,Sun Jun 10 10:28:00 +0000 2018,0.88,0.12,0.0,@BBC,"In 1913, Emily Wilding Davison made the ultimate sacrifice in the fight for women's right to vote.
#HearHer #Vote100 https://t.co/qr7UAIPtGr",76
76,0.5719,Sun Jun 10 10:11:08 +0000 2018,0.861,0.0,0.139,@BBC,RT @BBCTwo: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. So here's to Polly…,77
77,-0.4588,Sun Jun 10 10:01:05 +0000 2018,0.625,0.227,0.148,@BBC,"Learning to embrace that sinking, nagging feeling we get when we realise we have made the wrong choice. 
👉… https://t.co/HlxIqK5SHb",78
78,0.0,Sun Jun 10 09:01:05 +0000 2018,1.0,0.0,0.0,@BBC,How the suffragettes woke us up. https://t.co/WrXoMnNNIZ,79
79,0.0,Sun Jun 10 08:01:04 +0000 2018,1.0,0.0,0.0,@BBC,"❤️ The moment actor Maisie Sly, who's deaf, finds out she's going to meet the Queen!  https://t.co/0D0gJq0rgE",80
80,0.9134,Sun Jun 10 07:03:02 +0000 2018,0.491,0.067,0.442,@BBC,"This elderly man was struggling slowly across a busy road in China - but luckily, help was at hand! https://t.co/xfCtAOkL6F",81
81,0.0,Sat Jun 09 20:04:00 +0000 2018,1.0,0.0,0.0,@BBC,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",82
82,0.3612,Sat Jun 09 19:02:05 +0000 2018,0.878,0.0,0.122,@BBC,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",83
83,0.0,Sat Jun 09 18:04:03 +0000 2018,1.0,0.0,0.0,@BBC,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",84
84,0.5719,Sat Jun 09 17:01:05 +0000 2018,0.829,0.0,0.171,@BBC,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",85
85,0.4019,Sat Jun 09 16:04:03 +0000 2018,0.623,0.156,0.222,@BBC,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",86
86,-0.7783,Sat Jun 09 15:02:02 +0000 2018,0.673,0.327,0.0,@BBC,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,87
87,0.7717,Sat Jun 09 14:04:02 +0000 2018,0.472,0.0,0.528,@BBC,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,88
88,0.0,Sat Jun 09 13:24:03 +0000 2018,1.0,0.0,0.0,@BBC,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",89
89,0.0,Sat Jun 09 13:03:06 +0000 2018,1.0,0.0,0.0,@BBC,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",90
90,0.0,Sat Jun 09 12:23:25 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,91
91,0.8986,Sat Jun 09 12:03:00 +0000 2018,0.423,0.0,0.577,@BBC,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,92
92,0.0,Sat Jun 09 11:10:52 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,93
93,-0.8402,Sat Jun 09 11:04:08 +0000 2018,0.667,0.333,0.0,@BBC,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",94
94,0.0,Sat Jun 09 10:10:06 +0000 2018,1.0,0.0,0.0,@BBC,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",95
95,-0.6808,Sat Jun 09 10:09:40 +0000 2018,0.73,0.219,0.051,@BBC,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",96
96,0.7717,Sat Jun 09 08:55:42 +0000 2018,0.732,0.0,0.268,@BBC,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",97
97,0.6239,Sat Jun 09 08:54:21 +0000 2018,0.806,0.0,0.194,@BBC,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",98
98,0.0,Sat Jun 09 08:53:14 +0000 2018,1.0,0.0,0.0,@BBC,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,99
99,0.7579,Sat Jun 09 08:52:54 +0000 2018,0.755,0.0,0.245,@BBC,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",100
0,-0.6597,Thu Jun 14 23:51:03 +0000 2018,0.732,0.268,0.0,@CNN,China is killing his business. Tariffs could make or break it. https://t.co/N3YgSNo9bo https://t.co/SrRkQcjzTS,1
1,0.34,Thu Jun 14 23:46:05 +0000 2018,0.888,0.0,0.112,@CNN,The US Department of Homeland Security said that it has identified malicious cyber activity by the North Korean gov… https://t.co/NMnGJ1U6Or,2
2,0.5267,Thu Jun 14 23:41:28 +0000 2018,0.848,0.0,0.152,@CNN,RT @OutFrontCNN: The Justice Department's internal watchdog found that former FBI Director James Comey's actions in the Hillary Clinton ema…,3
3,0.0,Thu Jun 14 23:41:05 +0000 2018,1.0,0.0,0.0,@CNN,"A migrant ship's fate symbolizes a divided Europe, Andrea Mammone writes for @CNNOpinion https://t.co/CASBXR18fI https://t.co/t6m4S4uTpc",4
4,-0.3862,Thu Jun 14 23:37:15 +0000 2018,0.617,0.236,0.147,@CNN,"RT @OutFrontCNN: Sen. Richard Blumenthal: ""There is no reason, absolutely no excuse, for using this report to cast doubt on the special cou…",5
5,0.0,Thu Jun 14 23:36:03 +0000 2018,1.0,0.0,0.0,@CNN,Trump's zero-tolerance policy is un-American | By Alice Driver via @CNNOpinion https://t.co/0wdU5m7FgD,6
6,-0.2025,Thu Jun 14 23:31:07 +0000 2018,0.758,0.141,0.101,@CNN,"Brie Larson says she doesn't ""hate white dudes,"" but wants more diversity among film critics https://t.co/CoGyjhawSL https://t.co/Iqy5Q4lcuY",7
7,0.0,Thu Jun 14 23:26:07 +0000 2018,1.0,0.0,0.0,@CNN,"Last week, a jogger was caught on video in Oakland throwing away a homeless man's possessions. In the days since th… https://t.co/2kE3xXQ9gb",8
8,0.1779,Thu Jun 14 23:21:04 +0000 2018,0.925,0.0,0.075,@CNN,Afghanistan's cricket team makes history as it steps out on the pitch to face India in its first competitive Test m… https://t.co/ujpRd6khar,9
9,0.0,Thu Jun 14 23:18:29 +0000 2018,1.0,0.0,0.0,@CNN,"RT @OutFrontCNN: CNN's Erin Burnett: ""Democrats conclude Comey helped Trump. Trump concludes Comey helped Clinton. Both sides found somethi…",10
10,0.2732,Thu Jun 14 23:16:08 +0000 2018,0.753,0.1,0.146,@CNN,A policy adviser for two pro-Trump groups who came under fire last month when a video surfaced of him praising Nazi… https://t.co/9YkbQ7ZaUs,11
11,0.4019,Thu Jun 14 23:11:05 +0000 2018,0.876,0.0,0.124,@CNN,GOP Senate nominees Kevin Cramer and Corey Stewart sought and received the support of an anti-LGBT group that links… https://t.co/pO0w1s7BW8,12
12,0.0,Thu Jun 14 23:06:07 +0000 2018,1.0,0.0,0.0,@CNN,"Attorney General Jeff Sessions cited the Bible in defending the Trump administration's immigration policies, especi… https://t.co/Vw9uf7Ggsc",13
13,-0.7964,Thu Jun 14 23:02:07 +0000 2018,0.738,0.262,0.0,@CNN,"AG Jeff Sessions on immigration policy: Illegal entry into the US is a crime; ""I would cite you to the apostle Paul… https://t.co/FPgJdWiVnq",14
14,0.0,Thu Jun 14 22:52:52 +0000 2018,1.0,0.0,0.0,@CNN,RT @CNNSitRoom: Mark @PrestonCNN reads from the GOP platform: “Children raised in a two-parent household tend to be physically and emotiona…,15
15,-0.2023,Thu Jun 14 22:51:04 +0000 2018,0.847,0.153,0.0,@CNN,Roseanne Barr insists her controversial tweet was about anti-Semitism https://t.co/OxBDqd8dEs https://t.co/W1GHF9hWLm,16
16,0.0516,Thu Jun 14 22:48:50 +0000 2018,0.921,0.0,0.079,@CNN,Nigerian President Muhammadu Buhari offers national apology for presidential election annulled 25 years ago… https://t.co/mKIOneKyU9,17
17,0.0,Thu Jun 14 22:47:43 +0000 2018,1.0,0.0,0.0,@CNN,RT @CNNSitRoom: Attorney General Jeff Sessions cites the Bible in defending the Trump administration's immigration policies resulting in fa…,18
18,-0.6705,Thu Jun 14 22:46:03 +0000 2018,0.809,0.191,0.0,@CNN,"The brother of the gunman who killed 17 students and adults at a Parkland, Florida, school has announced the launch… https://t.co/ihTzoNzWMW",19
19,0.0,Thu Jun 14 22:41:03 +0000 2018,1.0,0.0,0.0,@CNN,"""Stranger Things"" star Millie Bobby Brown leaves Twitter amid cyberbulling https://t.co/JB5h4Vk0iL https://t.co/3kFSSSevtJ",20
20,0.0,Thu Jun 14 22:36:07 +0000 2018,1.0,0.0,0.0,@CNN,Three Californias? Billionaires' fantasy world is on the ballot | By Jeff Yang via @CNNOpinion… https://t.co/CiymVADM4D,21
21,0.6369,Thu Jun 14 22:31:10 +0000 2018,0.575,0.119,0.305,@CNN,"RNC chair's tweet spells doom for the party I love, writes S.E. Cupp for @CNNOpinion https://t.co/6UsntujTRs https://t.co/iTPS7petTK",22
22,0.5106,Thu Jun 14 22:26:00 +0000 2018,0.837,0.0,0.163,@CNN,It's #FlagDay. Here are some fun facts about the American flag you may not have known. https://t.co/zqJv4O2BmL https://t.co/iUgsmPL4J2,23
23,-0.5574,Thu Jun 14 22:24:32 +0000 2018,0.816,0.184,0.0,@CNN,"Rob Rogers, an award-winning editorial cartoonist for the Pittsburgh Post-Gazette, has announced that he was fired… https://t.co/vnW1rIayz9",24
24,-0.5267,Thu Jun 14 22:21:04 +0000 2018,0.779,0.221,0.0,@CNN,UN calls for international inquiry into human rights violations in Kashmir https://t.co/jv3agMGbHP https://t.co/gYg23Bm2mc,25
25,-0.4215,Thu Jun 14 22:16:02 +0000 2018,0.843,0.157,0.0,@CNN,Mixed martial arts star Conor McGregor expresses regret over bus brawl after brief court appearance… https://t.co/998SG8agNn,26
26,0.0,Thu Jun 14 22:10:41 +0000 2018,1.0,0.0,0.0,@CNN,Garry Hartman runs one of the few chassis manufacturers left in the US. But stiff competition from China is making… https://t.co/qWROorXAHY,27
27,-0.1027,Thu Jun 14 21:59:06 +0000 2018,0.583,0.225,0.192,@CNN,Prominent Iranian human rights lawyer detained again https://t.co/1uN4dAJnnq https://t.co/uhw9x4c4mo,28
